Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Damian Lillard,ATL,31,63.0,60.7,-2.303,0.689,59.0,63.0,60.0,60.0,61.0,62.0,0.000
Kevon Looney,CLE,25,53.0,53.0,0.000,0.000,53.0,53.0,53.0,53.0,53.0,53.0,0.000
Timothé Luwawu-Cabarrot,ATL,26,58.0,57.6,-0.422,1.513,56.0,69.0,57.0,57.0,58.0,58.0,0.046
Trey Lyles,BOS,26,46.0,43.9,-2.054,2.060,40.0,60.0,42.0,43.0,45.0,45.0,0.016
Devyn Marble,FA,29,36.0,34.7,-1.346,1.908,32.0,51.0,33.0,34.0,35.0,35.0,0.016
Boban Marjanović,LAL,33,55.0,51.5,-3.525,1.113,48.0,54.0,50.0,51.0,52.0,53.0,0.000
Jarell Martin,NOL,27,58.0,56.8,-1.243,1.394,55.0,68.0,56.0,56.0,57.0,58.0,0.021
James Michael McAdoo,WAS,28,54.0,52.0,-2.049,1.803,49.0,64.0,50.0,51.0,53.0,53.0,0.020
Ray McCallum,FA,30,51.0,50.0,-0.979,0.898,47.0,53.0,49.0,49.0,51.0,51.0,0.040
Patrick McCaw,MIA,26,55.0,52.9,-2.061,1.778,50.0,65.0,51.0,52.0,53.0,54.0,0.021
CJ McCollum,LAL,30,40.0,35.9,-4.106,0.805,34.0,38.0,35.0,35.0,36.0,37.0,0.000
T.J. McConnell,SAC,29,47.0,44.0,-3.031,2.628,40.0,59.0,42.0,43.0,44.0,45.0,0.029
Chris McCullough,DEN,26,55.0,53.6,-1.376,1.661,50.0,66.0,52.0,53.0,54.0,55.0,0.023
K.J. McDaniels,DEN,28,36.0,31.9,-4.110,2.454,30.0,53.0,31.0,31.0,32.0,33.0,0.018
Doug McDermott,NOL,29,51.0,49.4,-1.633,1.701,46.0,61.0,48.0,48.0,50.0,51.0,0.052
Mitch McGary,FA,29,45.0,43.9,-1.132,2.280,41.0,59.0,42.0,43.0,44.0,45.0,0.053
Ceddanne Rafaela,ORL,28,67.0,67.2,0.177,0.655,65.0,69.0,66.0,67.0,68.0,68.0,0.297
Jordan Mickey,GSW,27,48.0,44.2,-3.773,2.726,40.0,61.0,42.0,43.0,45.0,46.0,0.026
Khris Middleton,FA,30,44.0,42.3,-1.669,0.939,40.0,45.0,41.0,42.0,43.0,44.0,0.004
Quincy Miller,ATL,29,66.0,65.2,-0.815,0.659,63.0,67.0,64.0,65.0,66.0,66.0,0.013
Elijah Millsap,LAL,34,40.0,35.4,-4.588,0.684,34.0,37.0,35.0,35.0,36.0,36.0,0.000
